datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-06-13,145403998.12176383,-0.010767840961948584,7203830185.317127,0.16580637137962043,7159330.385891781,0.0001659296432200449,141562927.3583614,3841070.763402429,-0.0071989894
2025-06-16,145769833.01176614,0.0026718385739759923,7224978029.9654455,0.14544197492154734,7181991.506881532,0.00015584936647185075,138924870.68648997,6844962.325276174,0.0024895668
2025-06-17,144928924.86569953,-0.0055941201617879625,7251879091.687431,0.18454477971319647,7207445.691116553,0.0001746190121035945,141003171.69858727,3925753.1671122615,-0.000882864
2025-06-18,146215110.8781163,0.009045102715286022,7276589009.02543,0.170496796004636,7232156.690525996,0.00017050426222606406,142311904.56752288,3903206.310593431,0.001185894
2025-06-19,145013321.3774092,-0.008036543047265263,7303177163.171227,0.18184272464124035,7258882.15850047,0.00018278184665026023,140862212.87743568,4151108.4999734946,-0.0082271695
2025-06-20,144515736.56354612,-0.0033112797630439673,7321142540.8904,0.12388777491976818,7276287.295914733,0.00012002440361299165,141502513.81080768,3013222.7527384413,0.0009237528
2025-06-23,144566560.800581,0.000523312900127086,7345172342.485428,0.16627809653422482,7301090.008094917,0.00017162637626856652,140032319.58970892,4534241.210872077,0.002927184
2025-06-24,145775868.75096726,0.008546285320043262,7369651262.525571,0.16932629443893246,7327289.134047808,0.00018122535258365073,137827414.8405552,7948453.91041208,0.011957288
2025-06-25,147589563.10955086,0.01260557428883362,7395540505.580956,0.17759621861429523,7351183.318523786,0.0001639104241374611,143655120.5424279,3934442.5671229567,0.014354348
2025-06-26,148307075.67796788,0.005030468779614122,7420460548.326787,0.1688469172263435,7376115.439526257,0.00016892875402012527,144373408.71856782,3933666.9594000694,-0.0035479069
2025-06-27,147461174.070214,-0.0054761336719333946,7453633164.899188,0.22367521185861455,7409867.676374036,0.00022758345610608604,142402018.7969076,5059155.273306388,-0.006147921
2025-06-30,148507815.4825162,0.007301649826269,7483803763.542282,0.20460028772542024,7439936.120103041,0.00020390752968430632,143683038.48111874,4824777.001397472,0.0036514997
2025-07-01,149672340.57452783,0.008015186154552465,7509886228.440406,0.17563025092907938,7465728.814589706,0.00017367903771840283,145452897.0905325,4219443.483995332,0.0016970634
2025-07-02,148891796.69628158,-0.005051526313310811,7534483863.243832,0.164343222729103,7490198.926048909,0.0001634912059587818,144951870.01219007,3939926.6840915196,0.00023329258
2025-07-03,150038523.6025765,0.0078711133221874,7559675351.482507,0.16919325844433342,7515416.224294517,0.0001693666058516819,146072194.20286262,3966329.3997138855,0.006184578
2025-07-04,150569451.67444322,0.0037164180434380656,7586242292.505263,0.1770674649740446,7542094.02875522,0.00017780636479313068,146408073.20329946,4161378.4711437454,0.00356102
2025-07-07,149994851.3474862,-0.0036442405054768383,7612153039.765656,0.1720850210467432,7567983.0610327935,0.00017194080199979956,145902791.87425992,4092059.473226286,-0.004276514
2025-07-08,151367295.47797394,0.009325106824645704,7638385430.760806,0.17488860957219282,7594256.942507215,0.0001751652222618886,147218528.92767638,4148766.550297547,0.008393168
